"partId","PROLIFIC_PID","gender","nationality","education","date","task","trial","left","right","rating","rt"
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",42,"Ex13","Ex11",1.999269507,2.1522
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",43,"Ex10","Ex15",4.957633177,3.3984
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",44,"Ex10","Ex12",4.050401576,4.0202
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",45,"Ex12","Ex9",5.0365228,2.0977
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",46,"Ex9","Ex11",4.972425146,2.1313
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",47,"Ex13","Ex15",2.014061475,2.4502
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",48,"Ex15","Ex14",5.948684932,2.6819
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",49,"Ex11","Ex16",6.047297054,2.3815
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",50,"Ex15","Ex10",5.041453331,2.3655
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",51,"Ex10","Ex9",3.976442485,2.4495
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",52,"Ex14","Ex9",3.981373015,3.2669
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",53,"Ex13","Ex10",2.078159129,2.4321
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",54,"Ex13","Ex9",4.040540515,3.1664
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","9_to_16",55,"Ex14","Ex16",6.993973278,3.3652
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",1,"Ex5","Ex2",2.9607377,5.0495
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",2,"Ex7","Ex1",4.952702646,3.0315
