"partId","exemplars","Ex1","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9","Ex10","Ex11","Ex12","Ex13","Ex14","Ex15","Ex16"
"parID_15","Ex8",3.37375,3.3625,2.5525,6.49,4.65625,3.4975,,,,,,,,,,
"parID_15","Ex9",,,,,,,,,,1.6525,6.81625,4.8025,4.3525,4.67875,2.42875,5.1625
"parID_15","Ex10",,,,,,,,,1.765,,2.0125,1.68625,5.21875,2.31625,5.06125,3.89125
"parID_15","Ex11",,,,,,,,,7.5475,1.82125,,5.15125,2.485,5.275,6.805,1.6975
"parID_15","Ex12",,,,,,,,,5.005,1.81,5.4325,,1.91125,7.94125,2.45125,6.445
"parID_15","Ex13",,,,,,,,,6.535,5.21875,3.55375,2.13625,,4.72375,2.58625,2.755
"parID_15","Ex14",,,,,,,,,5.59,1.765,7.40125,6.23125,2.24875,,7.49125,6.4225
"parID_15","Ex15",,,,,,,,,2.4175,4.92625,5.905,2.71,5.5675,4.6225,,1.9675
"parID_15","Ex16",,,,,,,,,1.68625,2.27125,2.26,6.43375,1.63,5.51125,,
"parID_16","Ex1",,1.15234375,1.01171875,1,1.05859375,1.8671875,1.1171875,1.09375,,,,,,,,
"parID_16","Ex2",1.2109375,,1.046875,1.01171875,1.10546875,1.9609375,1.10546875,1.05859375,,,,,,,,
"parID_16","Ex3",1.05859375,6.2265625,,1.09375,1.2109375,1.984375,1.1171875,1.05859375,,,,,,,,
"parID_16","Ex4",1.1171875,1.9140625,1.1171875,,3.98828125,1.8671875,1.2109375,1.10546875,,,,,,,,
"parID_16","Ex5",1,1.05859375,6.05078125,1.05859375,,3.15625,2.875,1.10546875,,,,,,,,
"parID_16","Ex6",1.05859375,1.97265625,2.875,1.05859375,1.05859375,,1.2109375,1.2109375,,,,,,,,
"parID_16","Ex7",1.05859375,1.046875,1.05859375,3.859375,1.1171875,1.2109375,,1.2109375,,,,,,,,
"parID_16","Ex8",1.05859375,4.12890625,6.015625,1.2109375,1.1171875,1.97265625,,,,,,,,,,
"parID_16","Ex9",,,,,,,,,,1.08203125,5.3828125,1.1171875,4.703125,1.05859375,1.38671875,1.08203125
"parID_16","Ex10",,,,,,,,,1.15234375,,1.1171875,1.01171875,1.08203125,1.22265625,1.046875,1.08203125
"parID_16","Ex11",,,,,,,,,4.984375,1.01171875,,1.1171875,1.1171875,1.08203125,5.67578125,1.08203125
"parID_16","Ex12",,,,,,,,,3.953125,1.08203125,1.01171875,,1.1171875,1.1171875,1.05859375,1.0234375
"parID_16","Ex13",,,,,,,,,2.65234375,1.08203125,1.046875,1.0234375,,1.0234375,1.05859375,1.01171875
"parID_16","Ex14",,,,,,,,,1.1171875,1.01171875,1.1171875,1.2578125,1.08203125,,1.08203125,1.0234375
"parID_16","Ex15",,,,,,,,,1.1171875,1.10546875,5.34765625,1.05859375,1.08203125,1.08203125,,1.03515625
"parID_16","Ex16",,,,,,,,,1.15234375,1.328125,1.08203125,1.1171875,1.0703125,1.234375,,
