"subjectId","rep","par1","par2","value","counts.function","counts.gradient","convergence"
"P1",1,1.21602625309699,0.689291858630302,86.1505014962341,26,9,0
"P1",2,0.127714110791211,0.843095470215147,81.4972706364751,14,6,0
"P1",3,1.6670274774986,0.81098047280799,74.8010286415462,23,10,0
"P1",4,0.766152686444908,0.815138539664856,79.0824538951966,13,6,0
"P1",5,0.579300858979942,1.10456349130213,60.6313008429495,13,6,0
"P1",6,1.02324953289936,0.751861881829013,77.4236068426451,22,9,0
"P1",7,-1.0001235469887,1.20974720087948,72.9117893195071,24,10,0
"P1",8,0.408114568986951,0.90255518929452,74.5337282135158,26,9,0
"P1",9,0.298126711911663,0.982940471914037,67.5262572782376,25,9,0
"P1",10,0.0518702479431089,0.737909312320339,89.2107845528866,21,10,0
"P1",11,0.501190397661247,0.847988931404311,73.8204920023952,24,10,0
"P1",12,0.177636846365936,0.901255766353094,77.174338702308,22,9,0
"P1",13,0.430273272051624,1.13139595919941,54.3398521882275,14,6,0
"P1",14,0.77710767331996,0.751004983567019,79.9898589542998,22,8,0
"P1",15,0.302437858034267,0.887749622597308,77.8665789671408,14,6,0
"P1",16,0.357452052139391,0.906539431649367,72.9878266623778,27,9,0
"P1",17,0.5969236153309,0.806649924528329,77.2703202833227,30,8,0
"P1",18,0.250859699353518,0.721687047804334,84.5322924788484,27,9,0
"P1",19,-0.035590856159679,1.00067994561857,72.2685470884631,24,9,0
"P1",20,1.52629056335691,0.795917578875051,79.0283390700795,25,9,0
"P2",1,-0.282385548253168,-0.430770077916724,127.966228712767,11,6,0
"P2",2,5.45380791955737,-0.67711080602326,127.685063690172,54,38,0
"P2",3,1.71461529430631,-0.170422604053252,120.182421061772,17,7,0
"P2",4,7.97607328104453,-0.521636476499381,126.211941729498,32,21,0
"P2",5,7.8654396616303,-0.51318731233838,125.711997751457,84,58,0
"P2",6,8.20658504805076,-0.259014558398347,121.034228190072,31,17,0
"P2",7,8.61084562212673,-0.328467191109777,122.863790319043,23,16,0
"P2",8,1.66054607207798,-0.770354612421869,129.088593606789,22,13,0
"P2",9,7.72855320631473,-0.531514043392199,126.131835107931,77,53,0
"P2",10,0.920337380688733,-0.234616879948804,122.674707374587,10,6,0
"P2",11,-0.505452172581837,0.352724316848193,111.398500316474,28,9,0
"P2",12,0.67754475584038,-0.740381469786184,129.12211903444,20,14,0
"P2",13,0.478964398710699,-0.0171865581233496,118.420012222326,11,6,0
"P2",14,0.276632708285564,-0.049965457399695,119.431016698851,11,6,0
"P2",15,4.10912003040975,-0.11280231810116,118.866008950328,24,16,0
"P2",16,1.79983980663237,-0.329639836497652,123.487526456401,18,11,0
"P2",17,2.02804295335768,-0.0120877388044374,116.067031980999,19,11,0
"P2",18,5.95498398379446,-0.447464465390042,125.073011044167,70,48,0
"P2",19,0.360991246696913,-0.173957705148669,122.192541768303,11,6,0
"P2",20,6.18513542102409,-0.14010301977911,119.404043884909,15,11,0
"P3",1,8.17371961880279,0.176765650630899,109.136153843366,57,38,0
"P3",2,8.12164421933605,0.235185449952728,106.678041984871,42,28,0
"P3",3,-0.252166619731152,0.28273432454678,112.691327526832,11,6,0
"P3",4,7.17470409425118,0.270164904440535,104.941270399494,42,28,0
"P3",5,1.9854028281463,0.0111010176865462,114.29068450296,19,11,0
"P3",6,2.01267744334768,0.295343955249952,103.84319018301,26,16,0
"P3",7,5.89992642595707,0.0410330284474048,113.896890772909,57,38,0
"P3",8,2.11287381776569,-0.079258250701119,117.794272159481,19,11,0
"P3",9,0.165876562857932,-0.225981314234649,124.576265182539,18,7,0
"P3",10,0.255462751186541,0.348083411913893,106.006913464199,12,6,0
"P3",11,9.31980072993294,0.179312174584734,107.66734357081,35,23,0
"P3",12,8.47370993847712,0.159427828334016,108.946960204465,24,16,0
"P3",13,1.02491766030129,0.102177708919374,113.96935621568,19,11,0
"P3",14,1.0388749604117,0.250978122596511,109.047943753071,19,11,0
"P3",15,1.67001636897749,0.172586685204223,109.694988835322,21,10,0
"P3",16,1.00983701509635,0.159110166634913,113.636799765834,22,10,0
"P3",17,7.44538938907608,0.0215265506737893,113.497769677751,26,16,0
"P3",18,-0.474041997453767,0.534728847393827,104.258881981502,22,10,0
"P3",19,5.47022717696308,0.004145296052126,114.783563603934,32,17,0
"P3",20,0.273468822981762,-0.0167150052936389,118.715657888702,11,6,0
"P4",1,8.21904847718847,1.08867957823152,51.373829815012,12,6,0
"P4",2,6.99719920513791,0.837110786100106,68.3827188385266,15,8,0
"P4",3,8.35595414151649,1.03682705078256,56.8239341072923,16,8,0
"P4",4,8.6876172540818,0.931775892273564,62.3383217416942,13,6,0
"P4",5,1.35327170279772,0.895120628852086,70.1114701170293,23,10,0
"P4",6,2.73322105249331,1.10516383820768,50.6921271315064,29,15,0
"P4",7,9.29646515272826,1.00112325828718,58.3294180933241,15,8,0
"P4",8,0.900526158721643,0.837977238550909,73.3331363326952,13,6,0
"P4",9,12.1422206865161,1.05709129480964,51.0924837238999,13,6,0
"P4",10,1.10376631374016,0.966722220013672,65.0668648073972,21,9,0
"P4",11,7.77796217264573,0.641615702716722,81.2990148988337,16,8,0
"P4",12,7.67573304437848,0.780908742786386,75.3691212940932,47,28,0
"P4",13,0.882319440011633,0.937860766684015,66.293501605989,22,9,0
"P4",14,0.619483202738885,1.0554940460252,61.8518175509765,30,9,0
"P4",15,6.87797114116469,0.777833818696131,75.9548201909718,21,7,0
"P4",16,9.90701856683061,1.01978627762403,53.2814165845387,15,8,0
"P4",17,3.28912108020963,0.940466252534882,62.323953877632,28,16,0
