infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0007,8.1464,space,8.0768,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,8.1474,17.7468,space,9.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,17.7581,19.7124,space,1.9196,,19.7369,0.8,20.5263,20.5274,27.4001,7,6.8651,0,0,0,54,1,1_to_8,images/Ex8.jpg,images/Ex6.jpg,Ex8,Ex6,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,27.4067,1,28.4037,28.4039,35.9643,5.9921875,7.5543,0,1,1,24,1,1_to_8,images/Ex4.jpg,images/Ex5.jpg,Ex4,Ex5,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,35.9654,0.8,36.7595,36.7595,41.8404,5.9453125,5.0717,0,2,2,5,1,1_to_8,images/Ex1.jpg,images/Ex7.jpg,Ex1,Ex7,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,41.8425,0.9,42.7369,42.737,45.7914,7.94921875,3.0472,0,3,3,36,1,1_to_8,images/Ex6.jpg,images/Ex2.jpg,Ex6,Ex2,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,45.7924,1.1,46.8828,46.8829,54.0485,6.00390625,7.1596,0,4,4,19,1,1_to_8,images/Ex3.jpg,images/Ex7.jpg,Ex3,Ex7,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,54.049,0.8,54.8421,54.8422,58.968,4.97265625,4.1194,0,5,5,40,1,1_to_8,images/Ex6.jpg,images/Ex7.jpg,Ex6,Ex7,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,58.9686,0.6,59.5624,59.5628,63.6057,2.98046875,4.0355,0,6,6,48,1,1_to_8,images/Ex7.jpg,images/Ex8.jpg,Ex7,Ex8,,,,,
,,,,,034089,001,39,F,UK,Level 3,2024-11-07_15h05.43.750,CatSimMDS,2023.2.3,Win32,63.29113924,5f5668cf2db7050961fce434,672bf50eac1463c2ad3c747f,672cd6e40d8b8f94f713f715,,,,,,,,,,,63.607,0.9,64.4993,64.4997,81.562,2.91015625,17.056,0,7,7,27,1,1_to_8,images/Ex4.jpg,images/Ex8.jpg,Ex4,Ex8,,,,,
