infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,7.83,space,7.79,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,7.831,65.378,space,57.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,65.39,67.723,space,2.308,,67.737,0.9,68.637,68.637,72.777,2.755,4.13,0,0,0,34,1,9_to_16,images/Ex13.jpg,images/Ex16.jpg,Ex13,Ex16,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,72.778,0.7,73.474,73.474,75.953,2.71,2.471,0,1,1,45,1,9_to_16,images/Ex15.jpg,images/Ex12.jpg,Ex15,Ex12,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,75.954,0.7,76.651,76.651,78.746,2.0125,2.089,0,2,2,8,1,9_to_16,images/Ex10.jpg,images/Ex11.jpg,Ex10,Ex11,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,78.747,1,79.744,79.744,81.922,5.005,2.17,0,3,3,21,1,9_to_16,images/Ex12.jpg,images/Ex9.jpg,Ex12,Ex9,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,81.922,0.8,82.72,82.72,84.681,1.765,1.959,0,4,4,36,1,9_to_16,images/Ex14.jpg,images/Ex10.jpg,Ex14,Ex10,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,84.681,1.5,86.177,86.178,88.224,1.68625,2.037,0,5,5,49,1,9_to_16,images/Ex16.jpg,images/Ex9.jpg,Ex16,Ex9,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,88.224,0.8,89.022,89.022,91.766,5.51125,2.738,0,6,6,54,1,9_to_16,images/Ex16.jpg,images/Ex14.jpg,Ex16,Ex14,,,,,
,,,,,995364,001,38,Male,British,BA HONS,2024-11-07_15h07.58.197,CatSimMDS,2023.2.3,MacIntel,10.86956522,5cf5497696cde00015bc3ce7,672bf50eac1463c2ad3c747f,672cd6e752a40a14f85dd936,,,,,,,,,,,91.766,0.9,92.663,92.663,95.54,2.13625,2.872,0,7,7,31,1,9_to_16,images/Ex13.jpg,images/Ex12.jpg,Ex13,Ex12,,,,,
