16.7807 	EXP 	Created veryDifferent = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='veryDifferent', opacity=1.0, ori=0.0, pos=array([-0.7 ,  0.05]), rgb=UNKNOWN, text='Very Distinct', units='height', win=Window(...), wrapWidth=1)
16.7808 	EXP 	window1: mouseVisible = True
16.7862 	EXP 	Created verySimilar = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='verySimilar', opacity=1.0, ori=0.0, pos=array([0.7 , 0.05]), rgb=UNKNOWN, text='Very Similar', units='height', win=Window(...), wrapWidth=1)
16.7864 	EXP 	window1: mouseVisible = True
16.8131 	EXP 	Created text_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='text_end', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0075 	EXP 	slider: autoLog = True
0.0075 	EXP 	slider: styleTweaks = []
0.0075 	EXP 	slider: styleTweaks = []
0.0075 	EXP 	slider: styleTweaks = []
0.0075 	EXP 	slider: styleTweaks = []
0.0075 	EXP 	slider: contrast = 1.0
0.0075 	EXP 	slider: markerPos = None
0.0075 	EXP 	slider: autoLog = True
0.0220 	EXP 	informed_consent: autoDraw = True
2.3381 	DATA 	Keypress: space
2.3491 	EXP 	informed_consent: autoDraw = False
2.3491 	EXP 	text_instructions: autoDraw = True
2.6038 	EXP 	Imported design_task.csv as conditions, 2 conditions, 1 params
2.6041 	EXP 	Created sequence: fullRandom, trialTypes=2, nReps=1, seed=None
2.6043 	EXP 	New trial (rep=0, index=0): OrderedDict([('taskRows', ' 56:111')])
2.6063 	DATA 	Keypress: space
2.6142 	EXP 	text_instructions: autoDraw = False
2.6142 	EXP 	next_task_ready: autoDraw = True
2.8221 	EXP 	Imported design_trials.csv as conditions, 55 conditions, 5 params
2.8227 	EXP 	Created sequence: random, trialTypes=55, nReps=1, seed=None
2.8228 	EXP 	New trial (rep=0, index=0): OrderedDict([('task', '9_to_16'), ('exemplarLeft', '../images/Ex10.jpg'), ('exemplarRight', '../images/Ex15.jpg'), ('left', 'Ex10'), ('right', 'Ex15')])
2.8254 	DATA 	Keypress: space
2.8332 	EXP 	next_task_ready: autoDraw = False
2.8332 	EXP 	text_fixation: autoDraw = True
3.1495 	DATA 	Keypress: space
3.7311 	EXP 	text_fixation: autoDraw = False
3.7311 	EXP 	text_fixation: autoDraw = False
3.7311 	EXP 	stimulusLeft: image = '../images/Ex10.jpg'
3.7311 	EXP 	stimulusRight: image = '../images/Ex15.jpg'
3.7311 	EXP 	slider: markerPos = None
3.7311 	EXP 	slider: markerPos = None
3.7311 	EXP 	stimulusLeft: autoDraw = True
3.7311 	EXP 	stimulusRight: autoDraw = True
3.7311 	EXP 	veryDifferent: autoDraw = True
3.7311 	EXP 	verySimilar: autoDraw = True
4.6310 	EXP 	slider: autoDraw = True
5.5999 	DATA 	Mouse: Left button down, pos=(2877,1073)
5.6158 	EXP 	slider: markerPos = 9.4875
5.6364 	EXP 	slider: markerPos = 9.4875
5.6572 	EXP 	slider: markerPos = 9.4875
5.6690 	DATA 	Mouse:  Left button up, pos=(2877,1073)
5.6792 	EXP 	slider: markerPos = 9.4875
5.6977 	EXP 	slider: markerPos = 9.4875
5.7018 	EXP 	New trial (rep=0, index=1): OrderedDict([('task', '9_to_16'), ('exemplarLeft', '../images/Ex16.jpg'), ('exemplarRight', '../images/Ex11.jpg'), ('left', 'Ex16'), ('right', 'Ex11')])
5.7110 	EXP 	stimulusLeft: autoDraw = False
5.7110 	EXP 	stimulusRight: autoDraw = False
5.7110 	EXP 	slider: autoDraw = False
5.7110 	EXP 	veryDifferent: autoDraw = False
5.7110 	EXP 	verySimilar: autoDraw = False
5.7110 	EXP 	text_fixation: autoDraw = True
6.2599 	EXP 	text_fixation: autoDraw = False
6.2599 	EXP 	text_fixation: autoDraw = False
6.2599 	EXP 	stimulusLeft: image = '../images/Ex16.jpg'
6.2599 	EXP 	stimulusRight: image = '../images/Ex11.jpg'
6.2599 	EXP 	slider: markerPos = None
6.2599 	EXP 	slider: markerPos = None
6.2599 	EXP 	stimulusLeft: autoDraw = True
6.2599 	EXP 	stimulusRight: autoDraw = True
6.2599 	EXP 	veryDifferent: autoDraw = True
6.2599 	EXP 	verySimilar: autoDraw = True
7.1975 	EXP 	slider: autoDraw = True
7.6656 	DATA 	Mouse: Left button down, pos=(2781,1079)
7.6809 	EXP 	slider: markerPos = 9.0875
7.6976 	EXP 	slider: markerPos = 9.0875
7.7143 	EXP 	slider: markerPos = 9.0875
7.7309 	EXP 	slider: markerPos = 9.0875
7.7477 	EXP 	slider: markerPos = 9.0875
7.7499 	DATA 	Mouse:  Left button up, pos=(2781,1079)
7.7642 	EXP 	slider: markerPos = 9.0875
7.7678 	EXP 	New trial (rep=0, index=2): OrderedDict([('task', '9_to_16'), ('exemplarLeft', '../images/Ex13.jpg'), ('exemplarRight', '../images/Ex10.jpg'), ('left', 'Ex13'), ('right', 'Ex10')])
7.7804 	EXP 	stimulusLeft: autoDraw = False
7.7804 	EXP 	stimulusRight: autoDraw = False
7.7804 	EXP 	slider: autoDraw = False
7.7804 	EXP 	veryDifferent: autoDraw = False
7.7804 	EXP 	verySimilar: autoDraw = False
7.7804 	EXP 	text_fixation: autoDraw = True
8.8167 	EXP 	text_fixation: autoDraw = False
8.8167 	EXP 	text_fixation: autoDraw = False
8.8167 	EXP 	stimulusLeft: image = '../images/Ex13.jpg'
8.8167 	EXP 	stimulusRight: image = '../images/Ex10.jpg'
8.8167 	EXP 	slider: markerPos = None
8.8167 	EXP 	slider: markerPos = None
8.8167 	EXP 	stimulusLeft: autoDraw = True
8.8167 	EXP 	stimulusRight: autoDraw = True
8.8167 	EXP 	veryDifferent: autoDraw = True
8.8167 	EXP 	verySimilar: autoDraw = True
9.2683 	DATA 	Mouse: Left button down, pos=(2785,1053)
9.4191 	DATA 	Mouse:  Left button up, pos=(2785,1053)
9.7640 	EXP 	slider: autoDraw = True
10.1160 	DATA 	Mouse: Left button down, pos=(2785,1052)
10.1311 	EXP 	slider: markerPos = 9.104166666666668
10.1474 	EXP 	slider: markerPos = 9.104166666666668
10.1641 	EXP 	slider: markerPos = 9.104166666666668
10.1808 	EXP 	slider: markerPos = 9.104166666666668
10.1974 	EXP 	slider: markerPos = 9.104166666666668
10.1998 	DATA 	Mouse:  Left button up, pos=(2785,1052)
10.2141 	EXP 	slider: markerPos = 9.104166666666668
10.2174 	EXP 	New trial (rep=0, index=3): OrderedDict([('task', '9_to_16'), ('exemplarLeft', '../images/Ex14.jpg'), ('exemplarRight', '../images/Ex12.jpg'), ('left', 'Ex14'), ('right', 'Ex12')])
10.2304 	EXP 	stimulusLeft: autoDraw = False
10.2304 	EXP 	stimulusRight: autoDraw = False
10.2304 	EXP 	slider: autoDraw = False
10.2304 	EXP 	veryDifferent: autoDraw = False
10.2304 	EXP 	verySimilar: autoDraw = False
10.2304 	EXP 	text_fixation: autoDraw = True
10.3653 	DATA 	Keypress: escape
10.5140 	EXP 	CRL1e: status = STOPPED
10.5302 	EXP 	text_fixation: autoDraw = False
10.5303 	EXP 	CRL1e: status = STOPPED
12.1750 	EXP 	window1: mouseVisible = True
