infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,34.963,space,34.934,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,34.963,1135.017,space,1100.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,1135.019,1137.65,space,2.623,,1137.655,0.8,1138.45,1138.45,1142.833,1.05,4.371,0,0,0,35,1,9_to_16,images/Ex14.jpg,images/Ex9.jpg,Ex14,Ex9,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1142.833,1.4,1144.233,1144.233,1146.8,1.008333333,2.556,0,1,1,10,1,9_to_16,images/Ex10.jpg,images/Ex13.jpg,Ex10,Ex13,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1146.801,1.4,1148.2,1148.2,1151.6,1.975,3.393,0,2,2,25,1,9_to_16,images/Ex12.jpg,images/Ex14.jpg,Ex12,Ex14,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1151.6,1.4,1153,1153,1155.55,1.6,2.548,0,3,3,47,1,9_to_16,images/Ex15.jpg,images/Ex14.jpg,Ex15,Ex14,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1155.551,1.1,1156.65,1156.65,1158.95,1.641666667,2.297,0,4,4,12,1,9_to_16,images/Ex10.jpg,images/Ex15.jpg,Ex10,Ex15,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1158.95,1.2,1160.151,1160.151,1162.734,1.241666667,2.571,0,5,5,2,1,9_to_16,images/Ex9.jpg,images/Ex12.jpg,Ex9,Ex12,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1162.734,1.2,1163.934,1163.935,1166.251,1.4,2.306,0,6,6,38,1,9_to_16,images/Ex14.jpg,images/Ex12.jpg,Ex14,Ex12,,,,,
,,,,,105525,001,39,Female,British,Some college,2024-11-07_15h06.38.452,CatSimMDS,2023.2.3,Win32,60.0240096,5b0b369230d5620001553596,672bf50eac1463c2ad3c747f,672cd6d2a423e42740aa5fa5,,,,,,,,,,,1166.251,1.1,1167.351,1167.351,1169.734,1,2.382,0,7,7,31,1,9_to_16,images/Ex13.jpg,images/Ex12.jpg,Ex13,Ex12,,,,,
