infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
9.99999E-05,70.3843,space,70.3562,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,70.3846,94.2811,space,23.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,94.2843,103.0966,space,8.7924,,103.1011,1,104.0965,104.0966,112.9454,2.506043007,8.8397,0,0,0,42,1,9_to_16,images/Ex15.jpg,images/Ex9.jpg,Ex15,Ex9,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,112.9461,0.7,113.6448,113.6448,116.7283,2.506043007,3.0736,0,1,1,53,1,9_to_16,images/Ex16.jpg,images/Ex13.jpg,Ex16,Ex13,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,116.7288,1.4,118.1278,118.1278,121.1107,2.526762906,2.9775,0,2,2,32,1,9_to_16,images/Ex13.jpg,images/Ex14.jpg,Ex13,Ex14,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,121.1111,1.2,122.3103,122.3104,124.5102,4.194676417,2.189,0,3,3,23,1,9_to_16,images/Ex12.jpg,images/Ex11.jpg,Ex12,Ex11,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,124.5105,1.2,125.7098,125.7098,127.5265,4.194676417,1.8102,0,4,4,35,1,9_to_16,images/Ex14.jpg,images/Ex9.jpg,Ex14,Ex9,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,127.5269,0.6,128.126,128.126,130.5765,2.454244446,2.4402,0,5,5,36,1,9_to_16,images/Ex14.jpg,images/Ex10.jpg,Ex14,Ex10,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,130.5771,1.5,132.0757,132.0758,134.625,4.557266345,2.5466,0,6,6,48,1,9_to_16,images/Ex15.jpg,images/Ex16.jpg,Ex15,Ex16,,,,,
,,,,,538910,001,,,,,2024-11-07_15h04.25.631,CatSimMDS,2023.2.3,Win32,60.24096386,66257a414b2977d75dcbd625,672bf50eac1463c2ad3c747f,672cd6e93ac881c7d6586eeb,,,,,,,,,,,134.6253,1.4,136.025,136.025,138.4746,6.131942288,2.4376,0,7,7,18,1,9_to_16,images/Ex11.jpg,images/Ex14.jpg,Ex11,Ex14,,,,,
