infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.001,103.782,space,103.691,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,103.783,151.642,space,47.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,151.652,171.257,space,19.538,,171.272,1.1,172.367,172.368,187.351,1,14.977,0,0,0,2,1,1_to_8,images/Ex1.jpg,images/Ex4.jpg,Ex1,Ex4,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,187.352,0.9,188.246,188.246,192.855,1.01171875,4.602,0,1,1,1,1,1_to_8,images/Ex1.jpg,images/Ex3.jpg,Ex1,Ex3,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,192.856,1,193.842,193.842,202.741,1.9609375,8.894,0,2,2,11,1,1_to_8,images/Ex2.jpg,images/Ex6.jpg,Ex2,Ex6,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,202.742,0.7,203.431,203.431,207.198,1.01171875,3.762,0,3,3,9,1,1_to_8,images/Ex2.jpg,images/Ex4.jpg,Ex2,Ex4,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,207.2,1.5,208.673,208.673,213.808,1.09375,5.13,0,4,4,6,1,1_to_8,images/Ex1.jpg,images/Ex8.jpg,Ex1,Ex8,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,213.809,1.4,215.185,215.185,217.045,1.09375,1.854,0,5,5,16,1,1_to_8,images/Ex3.jpg,images/Ex4.jpg,Ex3,Ex4,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,217.047,1,218.013,218.013,222.733,1.97265625,4.716,0,6,6,54,1,1_to_8,images/Ex8.jpg,images/Ex6.jpg,Ex8,Ex6,,,,,
,,,,,999078,001,28,FEMALE,AFRICAN,BSC,2024-11-07_15h13.56.270,CatSimMDS,2023.2.3,Win32,19.96007984,672b60eb227e2b01fd1f88b5,672bf50eac1463c2ad3c747f,672cd6a9365b2ca23a5dda6c,,,,,,,,,,,222.733,1.1,223.838,223.838,231.172,1.046875,7.328,0,7,7,43,1,1_to_8,images/Ex7.jpg,images/Ex2.jpg,Ex7,Ex2,,,,,
