tasksRows,trialsRows,eachBlock,task,phase,Exemplars,r_correct,condition,difficulty,set,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,infCons.started,informed_consent.started,resp_consent.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,instructions.started,text_instructions.started,resp_instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,next_task_ready.started,ready_task.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,text_fixation.started,text_fixation.stopped,fixation.stopped,stim.started,stimulus.started,response_northern_text.started,response_southern_text.started,response.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback_text.started,correct_tone.started,incorrect_tone.started,correct_tone.stopped,incorrect_tone.stopped,feedback.stopped,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.006213100044988096,0.04043290007393807,0.04043290007393807,4.228357200045139,space,4.17160070000682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666221,001,,,,,2025-08-14_13h39.13.430,CRL1e,2023.2.3,59.88217579815734,2025-08-14 13h39.24.018017 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.228382000001147,4.242832800024189,4.242832800024189,4.693536800099537,space,0.4371627999935299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666221,001,,,,,2025-08-14_13h39.13.430,CRL1e,2023.2.3,59.88217579815734,2025-08-14 13h39.24.018017 -0400,
 0:2, 0:8,6,total,1,images/Ex3.jpg,right,training,easy,1,0,0,0,0,0,0,0,0,0,0,0,4,5.260724100051448,,,,,,,,,,,,,,,,4.698029200080782,4.708202900015749,4.708202900015749,5.244547800044529,space,0.5200410999823362,None,5.25432860001456,1.3,5.260724100051448,6.890950700035319,6.5595875000581145,6.559610299998894,6.890950700035319,6.890950700035319,6.890950700035319,0.28892049996647984,13.514993600081652,right,1,6.654899899964221,None,13.515531599987298,13.536760200047866,13.530734690080862,13.530734690080862,13.755359700066037,13.755359700066037,14.528701700037345,666221,001,,,,,2025-08-14_13h39.13.430,CRL1e,2023.2.3,59.88217579815734,2025-08-14 13h39.24.018017 -0400,
,,,,,,,,,,,,,,,,,,,,,,14.544910800061189,,,,,,,,,,,,,,,,,,,,,,,14.529145200038329,1.0,14.544910800061189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
