"participant","subjectId","first","task","difficulty","set","phase","condition2","blocks","blocksPhase","nTrials","pCorrect","avgRt","medRt"
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",11,5,4,1,0.549,0.537
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",12,6,4,0.75,0.49025,0.4645
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",1,1,8,0.875,0.77225,0.6635
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",2,2,8,0.75,0.495625,0.5065
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",3,3,8,0.875,0.523625,0.4935
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",4,4,8,0.875,0.446875,0.434
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",5,5,8,0.875,0.49025,0.483
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,1,"total-reversed",6,6,8,0.875,0.40975,0.3995
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",7,1,8,0.625,0.46625,0.4195
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",8,2,8,0.625,0.43825,0.4345
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",9,3,8,0.5,0.473625,0.484
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",10,4,8,1,0.58875,0.497
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",11,5,8,0.875,0.49075,0.508
"59ae8d282a78fd00010b80e7","P3","first-total","total","easy",7,2,"total-reversed",12,6,8,0.75,0.455625,0.4785
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",1,1,4,0.5,1.67525,1.5415
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",2,2,4,1,1.11,0.994
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",3,3,4,1,0.67,0.633
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",4,4,4,1,0.49725,0.48
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",5,5,4,0.75,0.5585,0.569
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-reversed",6,6,4,0.75,0.51,0.4985
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-nonreversed",1,1,4,0.75,1.198,1.2695
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-nonreversed",2,2,4,1,0.69525,0.6825
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-nonreversed",3,3,4,1,0.5935,0.599
"59ccd702faf42e00012b68f5","P4","first-partial","partial","easy",3,1,"partial-nonreversed",4,4,4,1,0.5005,0.4955
