"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"5d8cb1c93a7d5c00196eae92","first-total","easy",4,0.571428571428571,0.5,0.875,0.875,0.625,0.875,0.5,0.75,0.75,0.875,0.75,0.857142857142857,1,1,0.75,1,1,1,0.5,1,0.75,0.75,1,1,0.5,0.5,0.75,0.5,0.75,1,0.25,0.5,1,1,1,0.75
"5d8cef3c28e183001a335ab0","first-partial","easy",8,0.625,0.5,0.75,1,1,1,0.75,1,0.875,1,0.875,1,0.5,0.5,0.75,1,1,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.25,0.5,1,0.25,0.5,0.75,0.75,1
"5e63e24eaf3bd51660031dbe","first-total","easy",5,0.625,0.875,1,0.875,1,1,0.625,1,1,0.875,0.875,1,1,0.75,1,1,0.75,0.75,0.5,1,0.75,0,0.5,0.75,0.75,1,1,0.5,0.75,1,0.5,0.75,0.75,1,1,1
"5ee683596f9b570626faa11c","first-partial","easy",1,0.375,0.5,1,0.875,1,1,0.75,1,0.875,1,1,1,0.75,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1,1,1,0.25,0.75,0.75,0.5,0.75,0.75,0.75,1,0.75,1,1,1
"5f0788c06b220f03231666a0","first-total","easy",7,0.75,0.625,0.875,0.75,0.75,0.625,0.5,0.625,0.625,0.375,0.625,0.625,0.75,1,1,0.75,1,0.75,0.5,1,0.75,1,1,0.75,0.75,0.75,1,1,0.75,1,0.5,0.5,0.75,1,0.75,1
"60282d2ffedb021342e2df15","first-total","easy",1,0.625,0.75,1,0.875,0.75,0.625,0.625,0.375,1,1,0.75,0.875,0.5,0.75,0,0,0,1,0.25,0.75,0.5,1,1,0.75,1,0.5,0.5,1,1,0.75,1,0.75,0.5,1,1,1
"6047bf2d4d6168063087fe8e","first-partial","easy",2,0.375,0.625,0.875,0.5,0.25,0.5,0.428571428571429,0.625,0.25,0.625,0.428571428571429,0.75,0.5,0.5,0.75,0.75,1,1,0,0,0.5,0.75,1,0.25,0.75,0.75,0.5,0.25,0.5,1,0.75,0.75,1,0.25,1,0.75
"60723c224e9193e5d5fe5712","first-partial","easy",3,0.75,0.875,1,1,1,1,0.75,0.875,0.875,1,0.875,1,0,0.5,0.75,0.75,1,1,0.25,1,1,1,0.75,0.75,0.75,1,1,0.75,0.75,1,0.75,0.75,1,0.75,1,1
"60d2c59451b12e36fb281477","first-partial","easy",5,0.75,0.875,1,1,1,0.875,0.625,1,0.75,0.875,1,0.875,0,0.5,0.5,1,1,1,0.25,0.75,0.75,1,1,1,1,0.5,0.5,1,1,1,0.75,1,1,1,1,1
"60e3b450cc89a0046b21c5bc","first-partial","easy",2,0.625,1,0.875,0.625,0.875,0.875,0.375,0.875,0.875,0.875,0.75,0.875,0.25,1,1,0.5,1,0.25,0.25,0.25,0.75,0.25,0.75,0.5,0.5,0.75,1,0.5,1,1,1,1,0.5,0.75,0.75,1
